text,response,intent,tweet_id
"@Delta - just a word of thanks for Great Customer Service of Cristal S. @Delta SkyBonus Desk in MSP
#KeepClimbing ✈️",@296170 Thanks for sending Cristal a shout out via social media! *ALS,generic,736542
@824 seriously? A 4 hour layover and 2 of our 3 bags still didn’t make the flight!? DL2291 #notcool #DeltaAirlines #delta,@147377 Terribly sorry for the delay in your bag. Pls complete a delayed bag claim with our Baggage team at the airport.  *HCA,baggage,381309
@Delta SLC-SEA 4 honest people who waited for our zone to be called now have to check our tiny carry-ons. Last time flying Delta.,@334454 (c.) ask for volunteers or require gate-checks for all passengers. I hope the next round goes much more smoothly with your carry-on.  *ADB,generic,903328
@Delta Captain coming through the captain to shake everyone's hand a say hello before the flight MSP-SNA. Cool to see the passion for people https://t.co/NBWUijR47a,@304685 Thank you for flying with us Peter!  *HRS,generic,773077
@Delta stop wasting your money on celebrity chefs. No one gives a fuck.  What people do care about is when the food is served is it fresh and edible? In the case of Delta One Intl.  is day NOPE.  Stale fruit and poorly managed food and beverage,@138977 My apologies for these issues and we will sure forward the feedback to our Management Team. We certainly thank you for your loyalty to us.  *HRO,generic,104202
FUCK @Delta I hate you,@233824 Hello! How may I assist you? *TCC,generic,497839
@Delta Yeah!,@158709 Yes you can earn miles when flying with them as they are part of the Sky Team. *AST,generic,181761
"Hey @Delta, you need to really thank the gate agents @18046 for working through the broken plane situation this morning.","@245367 Thanks, we're glad to know we're exceeding our expectations. *AJY",generic,540381
"@Delta what's your minimum recommended transfer time at MSP for a flight to SLC?  My original flight is from LHR, I'm a UK citizen.",@196739 John the minimum connect time is 60 minutes for an international to domestic flight connection. *ACJ,generic,338247
@Delta Shout out for the fantastic flight crew 837 to Honolulu. Full flight and the service was flawless! #ThankYou,"@337733 Awesome!!! Thank you so much for your kind words Sarah, and thank you for choosing Delta! 😊 *HSD",generic,917134
"@Delta Conf# HGK42H
Skymiles# 9350290970","@143988 Hi, Rahul. Allow me a few minutes to review your past tweets. *HJH",loyalty,124909
"Hey @Delta, what's the status of flights going in/out of New Orleans this weekend with Tropical Storm Nate expected to make landfall?",@178560 Hi! Thanks for reaching out! Can you please DM us here?  *TJN https://t.co/6iDGBJAc2m,generic,262621
Kudos to WINiT Donor @Delta Airlines for again topping the list of U.S. Airlines for the 7th year in a row @1519 survey https://t.co/5TD0bl3ujo https://t.co/xreGrJV7FO,@234260 We love to make the difference. *AFC,generic,499387
"@Delta my future flight now has a long layover, looking to change to shorter stopover. Please advise. 😔",@290869 I'll be happy to check on this for you. Can you please share the confirmation number? *AOS,flight_change,714287
"@Delta team, thank you for sacrificing your time with your families so I could make it home to spend it with mine! Great crew today!",@140474 Thank you for flying with us! *AMS,generic,110206
@Delta Still have my boarding pass,@334975 Hi Josh. I'd be happy to help. Please follow/DM your confirmation code or ticket number to better assist. *TKR,generic,905552
Aye @Delta y’all doing Black Friday or cyber Monday on tickets?,@194137 Here are two links to better assist you:  https://t.co/MThhxc5jy8 and  https://t.co/ruZS0IypWI *AFM,booking,327743
@Delta I was asked to bid my seat during check-in.. well is it possible to change my flight then?,@313822 You can bid but you'd still have to go to the gate &amp; see if they still need volunteers. You would then ask the agent. *TMT,flight_change,813387
"@Delta Oh! Not 2 mention you gave my seat away an hr or so before the flight departed, which therefore I couldn't checkin 2 make the flight","@351666 Melissa, can you DM me your confirmation number so I can check your ticket? *TJM",flight_change,976768
How to take attractive @1383 profile pic like a pro: Take it at the #DeltaDatingWal @Delta @190097 https://t.co/p4XslZJ9oF,@190096 This is so cool! Thanks for sharing. 😍 *AST,generic,310291
@Delta just landed in Seoul from ATL and must say the crew in delta one for this flight was outstanding especially Anita!,@120554 Thank you for complimenting our crew! It was a pleasure to serve you!  *HDG,generic,20792
"Shoutout to Gary Martin, Reservations Sup. at @delta working in Chisholm, MN for his help. He should be considered for the Chairman’s Award.","@186246 Hi, Nick. Thank you for taking out the time to highlight Gary's performance today. We love to hear how awesome our team members are! 😊 *AFN",booking,294969
"Shoutout to @Delta for not having enough gas in the plane, causing delays in the bachelorette festivities! Completely unacceptable #MadBride",@175614 ... *HKS 2/2 https://t.co/6iDGBJRMTU,delay_disruption,250820
Thanks @Delta for taking us to our connection in a Porsche! Such a cool experience! #delta #keepclimbing https://t.co/dP1o2ZVcWT,@173201 Hello Harley! You're welcome. Thank you for your loyalty.  *HKS,generic,925404
Something about being on a @Delta flight just makes me so happy... :) https://t.co/piA3LkDzVG,@158641 Hi Austin! We are so happy to have you flying with Delta. Have a wonderful flight! *TJW,generic,181497
I had a dream where I flew @Delta  and the service was terrible. Do better (and maybe give me free tickets),@198867 Hi Kodi. Please let me know if I can be of any assistance.  *HSD,booking,347975
@Delta thanks for seating me next to a dude that “hates wearing shoes” and wanted to roll barefoot through the flight. Smelled horrible.,"@206072 Oh no! I'm so sorry to hear about your experience, Nick. 😞 *AMV",flight_change,379685
I’ll have to give it to you @delta I really dig the app,@157449 Thanks for the shout out!  😄 *TJF,generic,738074
I’ve had so many attractive flight attendants today thanks @Delta,@274189 Hi there. We are glad you were visually pleased today as you traveled. Thank you for choosing Delta as your carrier. *TAS,generic,648763
"@Delta Ya, I'm sure I could have called. Just would be great if there were a way to give some indication even if you don't have a boarding pass.","@228402 Until you receive your boarding pass, there is be no indication.  *TCC",generic,477183
Late departures happen... Early departures (when I usually leave no margin for error) UGH. Killing me today @Delta https://t.co/CNeT52xltd,@159462 My apologies for those issues. I see the SFO Airport requested an early departure due to traffic. I see you are boarded. Thanks for... 1/2,delay_disruption,184820
"@Delta 3 months now, lost baggage, all receipts sent in and still no recompense or customer service..at all. Every promise broken",@343932 and I will advise once I receive a response.  *HKS,baggage,944395
Hey @Delta you left our car seat &amp; luggage in EWR now we r in OKC.  What 2 do till luggage arrives?  Will you reimbrse xpnses. Agnts say no!,"@240756 I am sorry to hear that, Jason. Please reach out to the Baggage Service Office at the Airport for further assistance.  *AFM",baggage,522762
@Delta would it be too much to ask to have a working usb port in your premium seats? I would rather move to the back and have power,"@154293 Hi, thank you much for reaching out via this channel. I apologize for the inconvenience. Please share your confirmation number via DM for reporting purposes.  *AST https://t.co/6iDGBJAc2m",flight_change,165186
@Delta Already got my 1st Class tickets on @delta to fly to see family for Thanksgiving! Woo Hoo! I love this time of year!,@322254 Wow! Thanks so much for the tweet Ricgard! We really appreciate it. Can't wait to see you again! *TJM,booking,851429
@Delta seriously call me back. I called 2 hours ago and still have not heard back...even thought you said you would. Ergh!!!!,@190752 Hi Katie. I am so very sorry for the delayed  response. Is there something that I can help you with via social media?  *HSD,generic,313018
Thank you @Delta for finding and returning my iPad I left on the plane!!! Another reason I'm a loyal customer!!! #CustomerService https://t.co/QZ4UFF5e47,@301917 I am so happy your iPad was found! Glad my colleagues were able to locate it for you. 😄 *TJF,generic,761365
So frustrating trying to book a flight for my dad who has a service dog. Delta airlines manager asked me 4 different times if he really was a service dog. He flys this airline at least once a month if not more with the dog. Think I will contact ADA today. @Delta,@238064 I'm disappointed to hear about your experience. We do not condone inappropriate behavior from our employees. Did you complete the reservation or by chance get a name?  *HEC,booking,513130
@Delta Checking on flight HW22AU. Leaving Mco to pdx tomorrow morning. Have a very important hospital visit I need to make,"@206588 There's no problem with the flights so far. However, if you keep a look at the flights on https://t.co/9qhBcr7MZX you'll see if any... 1/2",generic,382055
@Delta Dang! Is it not a dollar for dollar system? I paid +$200 for a flight and received less than 100 mqds on my last trip via Air France,@182877 Thanks for reaching back out to us. What is your SkyMiles number? I'll gladly look into it for you. *AMC,generic,280729
@Delta Oh no. Not after last customer service experience. And def not after not being able to check in online for my flight tomorrow online :/,@193727 Ok. Then you can call Reservations at 1-800-221-1212 and make the purchase.  Payments are not accepted via Twitter.  Have a great day. *TMA,generic,777522
@Delta Thanks for quick response and info on delays that were out of your control.,@211160 You are very welcome! Tweet us anytime. Thanks for flying Delta! *CTB,delay_disruption,402286
@202835 @Delta I hope they didn’t charge you the fee for booking over the phone since the website was giving you trouble #goodcustomerservice,"@205691 @202835 Hi, Will. There is no fee for booking over the phone with Delta Air Lines reservations team.  *ALY",booking,366634
@Delta shout out to Pramod Mahtami for his superb attention and care! Thank you!!,@276716 Hi. Thx for publicly complimenting our coworker Pramod Mahtami. It's comforting to hear how of his superb attention and care to you. We're proud of him too. Happy travels! *HJH,generic,658282
EVERY time I fly @Delta something always goes wrong.,"@228615 Hello Olivia, I am so sorry is there anything I can help with? Thank you.   *TJM",generic,478199
"@Delta if I buy a ticket and use miles for a second ticket separately, can I link the reservations so I can request a companion upgrade?",@349987 Thank you for your patience.  Yes. That won't be a problem.   *HPF,booking,968830
@Delta - Salads have dressing already on them? There was no dressing on this salad at all. Bone dry. I've had separate dressing before.,"@173805 Oh no Steve, did you ask the flight crew for any dressing? I will forward this to our Catering Leadership Team, I'm so very sorry. *TRR",generic,243394
@Delta Thanks! I'll assist him in creating an account and ask again for your help if we're havibg difficulties with it 😊,@341051 Anytime! Thanks for flying Delta. *AJR,loyalty,931881
"@Delta the flight to Maui is delayed 6:30 hrs.. No ones here has any answers... thanks for spoiling everyones much awaited vacation, this is really frustating...not expected from airline like delta",@144317 I sincerely apologize. Please follow and DM your confirmation number.  *AFC https://t.co/6iDGBJAc2m,delay_disruption,126213
"@135896 @Delta Ok now THAT is some wisdom, there!","@122524 @135896 That is definitely some wisdom, especially the latter @135896. 😉 Have a great day and hope to see you soon! ✈",generic,91737
@Delta on a flight and none of the flight attendants noticed a woman talking on her phone after takeoff. I want to remain anonymous but more checking is needed.,"@251277 I am sorry to hear that, Dominique. We always appreciate customers who take the time to give us their feedback. I'll pass what you've said to their Management Team. *AFM",generic,561013
"Kudos to the gate team at KSRQ this morning @Delta - my 1725 delayed, great communication/updates from the team. #Aviation #avgeek","@151665 Thanks for the shout out, Derek! We truly love what we do. I'll be happy to pass this along to leadership and thanks for sharing. *TJE",delay_disruption,155461
@Delta I've been waiting over 3 weeks since filing about 2 flight cancellations &amp; 4 long delays! No response!? What is going on?,"@338531 Hi, Aaron. I'm sorry for the inconvenience. Please DM your confirmation number. I'll see what I can do to help.  *TJH",cancellation_refund,920625
@Delta I sent you guys a DM about a story! Thanks in advance for any help you can provide. 🎃,@116122 Please follow this link for your request. Thank you.  https://t.co/an5C61CZZt *TMT,generic,1848
@Delta This is quickly becoming even more inconvenient than I thought possible,@334070 ...damaged item to file a claim.  *TRR 2/2,generic,901728
@Delta *AFM thank you! Away a lot...so it counts! #travel #luxury,@251963 My pleasure and thanks for being a Medallion Member. *AFM,generic,571414
@Delta been waiting for help with flight change.  Small change had huge impact on us.,"@334155 Hi, Ryan. Please DM your confirmation # to the attached link.  *ALY https://t.co/6iDGBJAc2m",flight_change,902071
@Delta will my flight to CVG keep the door open until 15 before the departure time?,@205080 The gate agent is aware of all of our connecting passengers.  *HYC,generic,375623
"@Delta Thanks for nothing, hundreds of dollars down the drain",@320425 Did you show the damages you state to our baggage team at the airport?  *ARD,generic,842703
"@Delta @Delta agent said it was ATC until 3:30. Regardless of ATC, seems like it's a maintenance issue. Maintenance issue existed all along no?!","@204651 Both issues were reported as the cause of the delay, Henry.  *ALA",generic,374001
First time flying @Delta to London. Good luck me!!! ✈️✈️✈️,@210832 Glad to have you aboard! Many thanks for your choosing Delta for your trip to the UK! *CJE,generic,400949
"@Delta John, great flight attendant on 2339 in first class. Funny, fast, great service. Feedback form clunky/cumbersome, hence the tweet.",@180187 ...Difference! *ACJ 2/2,generic,269184
@Delta Domestic,"@250973 Unfortunately, no. The canned food allowed in the carry-on by TSA is less than 3.4oz/100 ml.  *AFM",generic,560034
@Delta help!!!! My flight out of JFK is cancelled!  Help!!,@285227 I will need your confirmation or ticket number. *ALS,cancellation_refund,810902
@DELTA what zone am in?  Oh. The one where we force you to check your bags even though there's tons of space in the bins. https://t.co/8RBwkzubt5,@186707 ...process to ensure an on-time departure.  *HJB 2/2,baggage,296815
"@Delta still sitting on the plane an hour later AFTER being delayed 5 hours due to ""maintenance"". #deltaisTHEWORST",@209386 Oh no! I regret the frustration the delay has caused you. If you need any assistance re-booking. Please let us know. *CAR,delay_disruption,394145
@Delta Ok that's all good thanks so much,"@189050 On behalf of *HWG, you're welcome.  *HKS",generic,305947
@Delta Yes.  Do we need to start an amex account and merge on Delta?,@348753 Your friend would need to contact American Express and ask them to attach both accounts.  *AST,loyalty,963779
Yet another late delta filght is this really the best we can do @Delta,@229721 I'm sorry to hear that your trip isn't going as planned. Please DM me your confirmation number and I'll gladly look into it for you. *AMC,delay_disruption,514194
@Delta I just added my known traveler number to my profile.  How can I now get a boarding pass that shows pre-check,"@177983 Hello, once you check-in if you are selected it will show on your boarding pass. I suggest checking in again. *AMS",generic,260474
@Delta F74Z8V,@342272 Please follow for DM. *AMS,generic,937653
@9554 please note this from @Delta https://t.co/dMtTurahbi,"@210572 Thank you for sharing, Leigh.  *AFM",generic,880382
Honestly the @Delta employees were so helpful to me this weekend! First time traveling alone and they helped anyway they could!,@266294 Glad they could assist you with your travel. We hope to see you again on Delta.😄 *CKJ,generic,616487
@Delta Thanks for getting this squared away and for the 1st class upgrade (like always😜) definitely not upset anymore.,@135903 You are most welcome.Thanks for enjoying the Delta Experience and thank you for tweeting us today; we're always here ready to help whenever you need us. *AJZ,flight_change,91766
"@Delta I am trying to change my flight for today but I cant get a phone rep, can you help? It changes my entire afternoon!","@324723 Hi Tierney, I'll be happy to help; I am calling you now. *TJP",flight_change,862165
@Delta I have tried to get this resolved Do not want the voucher want refund to credit card. I don't fly Delta normally and Dominica was destroyed due to Hurricane Maria. Natural disaster should be a reason to refund the tickets,"@150098 However, your tickets have turned into credits that can be used toward a future Delta booking. The credit is good for one year from the original issue date of August 17, 2017 and is non-transferable.  *HKS",cancellation_refund,149633
Thanks @Delta!... those little things that build customer loyalty. I didn't realize it was the month of my birthday :) https://t.co/tCEyfA4F3t,@241007 We are always looking out for you JP! 😉 Happy cake day to you! 🎂 *TJN,generic,523635
"@Delta My wife and daughter flew Southwest on our recent trip to SFO, and I flew Delta.  My experience was exceptionally better.  #Thanks",@339722 Thank you so much for the compliment. #UchooseUs ✈ 💕 ✈ #WeChooseU *TMA,generic,926772
"@Delta I want my money back. I transferred miles and had to pay for that nonetheless, and I was totally lied to and made feel stupid by yoy","@159839 Hi, Joanna. Thanks for your patience while I read through the previous conversation thread. *AAB",cancellation_refund,186435
@Delta Ok. Still not seeing that done?,@199768 They will do it. Please give them some time.  *AMR,generic,352210
"@Delta Yeah, except I didn’t notice it until we got home and went to use it for the first time today. So I’m pretty sure I’m just stuck with the damage, right?",@154290 You may still claim the damage within 24 hours for U.S. travel and seven days for international travel. *AMC,delay_disruption,165174
"@Delta Not the most awesome response, but it’s a response, I guess.","@176544 Hi Patti, I am very sorry to hear you did not receive good service on your flight DL1701. Please DM your confirm # along with some details of what happened. *TJW https://t.co/6iDGBJAc2m",generic,597429
This is really getting annoying @Delta the website is incapable of showing award space properly. https://t.co/kjrmVmz4wz,"@290858 Hello, sorry for the trouble. There just seems to be no availability using SkyMiles.  *HVI",generic,714255
@Delta 50 + segments this is where I get sat at https://t.co/WOykWupVwX,"@158122 ...direct message.  
 *TJM 3/3",generic,229252
Hello! @Delta #Atlanta https://t.co/RFId5sJG0L,"@222254 Love the pic, thanks for sharing. Have a great week. 😊 *TBT",generic,452151
Another shout out and big thank you 🙏 to @Delta #LAX for finding my work load. Or maybe not. 🤣Got along just fine without it! #thanksnothanks https://t.co/r2OJPADz7s,"@258485 Hi. You haven't received your luggage? If you have a baggage claim, please DM. I will reach out to our Baggage Office.  *AMR",generic,587570
@Delta refunded my Nov flight to #SanJuan with no questions asked. I wish @AmericanAir and @165853 provided that level of CS! #WellDone,@196922 We love to help! *AFC,cancellation_refund,338935
"@Delta Booked travel wrong, realized asap, cancelled, rebooked. Chrgd 2X for trip insurance. Just spent 25 min on phone with Allianz. Argh.",@316719 Hi there. Please follow/DM your confirmation code or tkt # to learn more. *TKR,booking,825970
@Delta @824 How is that helping?!? This man was awful to me. How can you employ people like this? Does loyalty no longer matter?,@353791 ...you did check in late. I do apologize. I am also showing that you were rebooked to the next flight at no cost. *TBW 2/2,generic,986499
@Delta So there's no other way to contact them?? Go back to the airport (which is not the most feasible option) or call an out of service number??,@334070 ...Is must be returned to airport for the claim.  *TCC 2/2,delay_disruption,901725
"@218384 @20224 @Delta offers free messaging in air, how cool is that?","@13410 @218384 @20224 We think it's pretty cool too, Douglas! Enjoy and message away!  *CKH",generic,435228
A lot of unhappy customers @delta in NY JFK TONIGHT.,"@349232 It is upsetting to hear that. If you need any assistance, please let us know. *AMV",generic,965933
@824 arrived from dtw at San and been standing at baggage claim for 15 min looking at a stuck bag and no action.,"@337105 @824 Oh no! We apologize for any inconvenience. If you need any assistance, please let us know. *AMV",baggage,914278
@Delta really? a two hour wait time for a call back and now 20 minutes of “loading” on your web site to request a cancellation? https://t.co/UW1YGIqhHn,@292161 Hello! I am here to help. Could you provide your confirmation number via DM so I can take a look for you? Thanks. *TDL... 1/2,cancellation_refund,719386
@Delta your website on Android is shit.. thank you,"@271853 Hi, Chris. I am sorry you are having issues with the website. If you would like to provide specific issues, I would be glad to forward to our IT group. Thanks! *TJF",generic,640130
@Delta AND there are first class seats open?? wth?! no ONE offered to upgrade or even offer for me to rebuy the upgrade?!?!,"@165010 Chantelle, do you have the 13 digit transaction number for the purchase? *ACJ",flight_change,206989
"Sitting at a gate at the St Louis Airport waiting for my @Delta flight home to MSP. Karla (with a K) is AWESOME!! Her personality is a true rarity. Hang on to her, she's a gem!!","@236118 Awesome! We're happy to hear Karla is exemplifying the #DeltaDifference. We'll be happy to share your positive impressions with her leadership. Would you mind providing the flight number, Roxanne? *ASK",delay_disruption,506159
@Delta It was a corny joke! I love corny jokes! I actually love you guys! I cant wait to take another trip with you all!,@279625 We can't wait to have you on board! *ABN,generic,669360
"@Delta  now that Kansas City approved a new, single terminal, will you expand service? Kansas City to London perhaps?",@143121 Hi Zach! Not sure about that as yet. Hopefully they will. *TMC,generic,703366
Yeah.....I’ll stick with @Delta 🙃 https://t.co/4aRQ3QUfgv,@224056 We love having you any chance we can. Have a great week. 😊 *TBT,generic,459159
@Delta-5602 cabin crew was top notch!!!!!,@192798 That's what we like to hear! Thanks for flying with us. We truly appreciate you and your feedback.  *HJB,generic,326786
"@Delta has really dropped the ball today. Cancelled flight, lost my luggage, 3+ hour flight delay because there is no crew for our plane...",@213176 Oh my! I regret your frustrations today. Please DM your confirmation #. *TMT https://t.co/6iDGBJAc2m,baggage,411546
@Delta Can Bluetooth headphones be used on international Delta flights?,@251279 They sure can! 🎧 *TJN,generic,561023
@delta @824 absolutely terrible operations today. Delayed due to late FA out of LGA (60 m) now don't have gate at RSW??? 2x this wk,"@182187 Hi Mike, I am so sorry for the delay today. Unfortunately, LGA has been having really terrible weather. Again, we truly apologize for... 1/2",delay_disruption,276982
"Tweeting, whatsapping, Facebooking while on board @Delta #DL0137 a midair, this is enjoyable and a real revolution in in air travel services",@323774 Super! Appreciate the shout out! *TCC,booking,858106
@Delta Booked thru Expedia - can't check-in online (6-digit code is a partner; ticket # isn't recognized).  How can I check-in online?,@203528 Hi David. Bear with me a moment to review. *TKR,booking,369455
@Delta what would make ur new planes great? air condition! 4+ hr flight to #Vegas w/o air = most miserable flight ever @824,"@200749 @824 Wow, that's not good to hear. Please forward your flight number and I'll take a look. *HKC",generic,356912
Worst flight experience EVER!!!!! Never have I experienced an entire flight crew so snippy @Delta I’ve never been so happy to disembark,"@139548 We wish your experience was different than what's described, Cambrey. We must do better.  *ALA",generic,377250
@Delta lied at Newark. Promised a back up plane if ours didn't get fixed by 11. Not fixed and no backup. Would have gotten a hotel hours ago,"@205590 Our apologies for the unexpected delay, Carol. Let us know if we can assist with rebooking.  *ALA",generic,377543
American Platinum member looking for new loyalty airline. What are my options for a flying start ? /cc @9147 @Delta @2042,@322256 @9147 @2042 https://t.co/k0sB3Bixx5 *HBB,loyalty,851448
"@Delta 950 flight to ROC on a  Friday (took off at 1030) after hard days work and can't buy a beer, how lazy are these flight attendants?","@335785 I'm very sorry Thomas, I hope you have a great weekend. *TBT",generic,908571
After our @delta flight attendant told the story of her #breastcancer diagnosis just two years… https://t.co/Do8Z6TINug,@185637 Aww! Thanks for your kind act and support. Enjoy your flight Brad :-) *HPL,generic,292396
"@Delta  when flying delta, try and fly their 737-900 aircraft!  Incredible, clean, quiet, comfortable, lighting is awesome, just an incredible experience!  Can’t wait for them to retire the d MD-80’s I don’t like flying on hem anymore. They were a great workhorse 30 yrs ago.",@261642 We appreciate your constructive feedback and are taking it under serious advisement. Thank you for helping us to be better. *AFC,generic,597416
@Delta Because of the change my sky miles now says the flights weren't eligible. Can this be sorted?,"@117669 Hi Jamie, One moment while I review your ticket. Please follow via DM. *TDL https://t.co/6iDGBJAc2m",flight_change,9349
"@Delta so are you saying you can't find my case? I would like an answer to my complaint please, I have been waiting 37 days...how much longer?",@179076 I apologize for the delay in responding. I'll reach out to the team to find out where your case stands. Thanks for tweeting us today. *HNW,generic,490837
@Delta is the best.... my baby got to be a pilot for a second. Thank you for making make believe a dream come true.... #ilovedelta https://t.co/Admf7iFYQE,@218787 Thank you for sharing Keishanna! It looks like she's having a great time!  *HES,generic,437034
@Delta why don’t we get off plane when the min wait time for a mechanical fix is 1hr. No air. #DL1954 #getmeoffthisdamnplane #itshot 🔥,"@308170 Hello, Leslie. Very sorry for the delay and discomfort. We must do better. If you need any help, let us know.  *ARD",generic,866085
@Delta thanks but #csr finally picked up,@230526 You are welcome!  *TCC,generic,485594
"Even though I missed my @Delta flight in Seattle due to a late arrival, red coat Jade V did an amazing job keeping her cool and getting me booked to where I want to go!",@276272 This is awesome to hear. Please share your confirmation number so I can share the compliment.  *AST,delay_disruption,656709
@Delta Hi Delta:  The new online flight schedule function does not display aircraft type.  This is very important to me in choosing a flight,"@310287 Hi, I would be happy to assist you with that. Can you please DM me your confirmation number? *TMC",generic,798149
@delta flight 2020 was 1:42 late leaving Memphis. Wife needs help getting bags and international terminals. Can you help?,"@298358 Hello, Charlie. Sorry for the delay. Are you still needing assistance?  *ARD",baggage,746085
@Delta should dogs be sitting on your plane seats? https://t.co/s6bX2IMxxb,"@253720 Hello. Dogs are accepted in the cabin as pets, service or emotional support animals. Pets must remain in the pet carrier at all times and service or emotional support animals do not require a kennel but would remain seated on the floor in front of its owner.  *AJL",flight_change,647249
@Delta @824 @824 they had to rent a bus to get here since there was no option to stay there and may have to cancel a planned trip to Toronto,@325610 @824 Thank you for the update and really sorry to hear about the travel woes. We hope the trip continues without a hitch! ✈ *TSE,cancellation_refund,865860
@Delta Customer Service is the absolute best of any airline! Sometimes delays help you to get to the airport ... not all delays are bad!,@193266 Hey Adam! We certainly appreciate your kind words and loyalty! Have a wonderful day. 😊 *TKR,delay_disruption,826927
Happy Thanksgiving to all! Thank you @Delta and Grand Jane for little Sloane's first upgrade! The whole crew on flight 0990 from SLC to SMF was amazing. Big shout out to Joshua for some of the best service we've had on a flight. Time for turkey! https://t.co/pkRT5ma3Mm,@141654 Hi Mateo. Thank you for letting us be your ride today! Have a wonderful holiday!  *TKR,flight_change,115408
@Delta shout out to Stward Shannon on FL 1469 ATL/MIA. Great service. This is why I fly Delta!  Seat 4c.,"@193781 That's great to hear Aaron, thanks for taking the time to share your compliment with       In Flight Leadership.😊 *HKC",flight_change,326464
last flight for a while and I am SO happy about it. @Delta it's been real. #janedrafts,"@318245 Hi, Jane. We hope to see you back soon. 😊 *AMV",generic,832376
@Delta why is my flight 5301 from ABE to ATL delayed so long?  Was hoping changing from PHL to ABE would be a better experience,@178229 I will ask the ABE to look into this and make an announcement on the latest update. Again my apologies. *HJH,delay_disruption,936556
@Delta stuck on a plane at the gate at SFO for an hour with no real plan to get off bc broken jetway #freeflightDL496,"@227138 We're sorry, Lana! Please use the link to provide your confirmation #. *ABN https://t.co/6iDGBJAc2m",delay_disruption,470994
@Delta your company is despicable. I’m sure your flight is full and this is what you charge the distressed ppl of PR #pricegouging #ripoff https://t.co/JhmU3PbnHl,"@335628 Hello, Melanie! I do not see that price. I see a one way First Class fare at $949.60.  I will be glad to assist if you need any... 1/2",generic,908051
"@Delta jerks fuck you, Cibolo had a seat with my wife, but you a holes can't even get that right. I'm done with you.",@218661 Hello! I apologize about your seat assignments. Please DM your confirmation# and I will try to help. *TCC,flight_change,436510
@Delta *TMC  Is there anyone else there that can explain this ? Not getting any answers from you.,@126385 Hi Terry! I am reaching out to the platinum desk. Will be with you shortly. *TMC,generic,46700
"@Delta I assume when you ask about different handle you mean for you, and not me- it must be a little confusing in customer service!","@311633 At this time, your flight is to depart as scheduled. What other options are you interested in?  *ATJ",generic,804131
